Company,Country,Sector,Industry,Total Pages,Auditor,Published
(M6) Metropole Television,France,Services,Media & Entertainment,97,97,KPMG
74Software,France,Technology & Communications,Software & IT Services,102,102,ACA Nexia & Forvis Mazars
Aalberts,Netherlands,Resource Transformation,Industrial Machinery & Goods,54,54,Deloitte
Aareal Bank,Germany,Financials,Consumer Finance,199,199,KPMG
AB InBev,Belgium,Food & Beverage,Alcoholic Beverages,36,36,PwC
Abertis Infraestructuras,Spain,Infrastructure,Engineering & Construction Services,214,214,KPMG
ABN Amro,Netherlands,Financials,Commercial Banks,146,146,EY
Acciona,Spain,Infrastructure,Engineering & Construction Services,438,438,KPMG
Accor,France,Services,Hotels & Lodging,148,148,PwC
Acea,Italy,Infrastructure,Electric Utilities & Power Generators,107,107,PwC
Acerinox,Spain,Extractives & Mineral Processing,Iron & Steel Producers,127,127,PwC
Achmea Holding,Netherlands,Financials,Insurance,163,163,EY
Addiko Bank,Austria,Financials,Commercial Banks,138,138,KPMG
adidas,Germany,Consumer Goods,"Apparel, Accessories & Footwear",217,217,PwC
Adyen,Netherlands,Consumer Goods,E-Commerce,94,94,PwC
Aegon,Netherlands,Financials,Insurance,108,108,EY
Aena,Spain,Transportation,Air Freight & Logistics,302,302,KPMG
Aeroports de Paris,France,Services,Professional & Commercial Services,312,312,Deloitte & EY
"ÄEZ, a.s.",Czech Republic,Infrastructure,Electric Utilities & Power Generators,152,152,Deloitte
Ageas,Belgium,Financials,Insurance,113,113,PwC
AGFA-Gevaert,Belgium,Resource Transformation,Industrial Machinery & Goods,84,84,PwC
Air France-KLM,France,Transportation,Airlines,169,169,KPMG & PwC
Air Liquide,France,Resource Transformation,Chemicals,103,103,PwC & KPMG
Airbus,France,Resource Transformation,Aerospace & Defence,108,108,EY
AIXTRON,Germany,Technology & Communications,Semiconductors,86,86,KPMG
Aker BP,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,106,106,PwC
Aker Solutions,Norway,Extractives & Mineral Processing,Oil & Gas – Services,88,88,PwC
Aktia Bank,Finland,Financials,Commercial Banks,66,66,KPMG
Akzo Nobel,Netherlands,Resource Transformation,Chemicals,61,61,PwC
Alfen,Netherlands,Resource Transformation,Electrical & Electronic Equipment,33,33,PwC
ALK,Denmark,Health Care,Biotechnology & Pharmaceuticals,69,69,PwC
Allegro,Luxembourg,Consumer Goods,E-Commerce,67,67,PwC
Alliander,Netherlands,Infrastructure,Electric Utilities & Power Generators,89,89,PwC
Allianz,Germany,Financials,Insurance,132,132,PwC
Allied Irish Banks (AIB) Group,Ireland,Financials,Commercial Banks,78,78,PwC
Alm Brand,Denmark,Financials,Insurance,71,71,EY
Altri SGPS,Portugal,Renewable Resources & Alternative Energy,Pulp & Paper Products,138,138,EY
Amadeus FiRe AG,Germany,Services,Professional & Commercial Services,87,87,PwC
Amadeus IT,Spain,Technology & Communications,Software & IT Services,209,209,EY
AMAG Austria Metall,Austria,Extractives & Mineral Processing,Metals & Mining,114,114,EY
AMG Critical Materials,Netherlands,Resource Transformation,Chemicals,58,58,KPMG
Amplifon,Italy,Health Care,Health Care Distributors,120,120,KPMG
Amsterdam Commodities,Netherlands,Food & Beverage,Processed Foods,55,55,EY
Amundi,France,Financials,Asset Management & Custody Activities,89,89,PwC & Forvis Mazars
Arcadis,Netherlands,Infrastructure,Engineering & Construction Services,109,109,PwC
Arena Hospitality,Croatia,Services,Hotels & Lodging,43,43,Deloitte
Argenx,Netherlands,Health Care,Biotechnology & Pharmaceuticals,69,69,Deloitte
Ariston Holding,Netherlands,Consumer Goods,Appliance Manufacturing,105,105,EY
Arkema,France,Resource Transformation,Chemicals,114,114,KPMG & Forvis Mazars
Aroundtown,Luxembourg,Infrastructure,Real Estate,111,111,KPMG
Asklepios Kliniken,Germany,Health Care,Health Care Distributors,118,118,KPMG
ASM International,Netherlands,Technology & Communications,Semiconductors,36,36,KPMG
ASML Holding,Netherlands,Technology & Communications,Semiconductors,163,163,KPMG
ASR Nederland,Netherlands,Financials,Insurance,127,127,KPMG
Assa Abloy,Sweden,Resource Transformation,Electrical & Electronic Equipment,49,49,EY
Atea,Norway,Technology & Communications,Software & IT Services,93,93,Deloitte
Atenor,Belgium,Infrastructure,Home Builders,138,138,BDO
Atos,France,Technology & Communications,Software & IT Services,150,150,Forvis Mazars
Atria,Finland,Food & Beverage,"Meat, Poultry & Dairy",51,51,Deloitte
Austrian Post,Austria,Transportation,Air Freight & Logistics,115,115,BDO
Autostrade per l'Italia,Italy,Infrastructure,Engineering & Construction Services,117,117,KPMG
Avinor,Norway,Services,Professional & Commercial Services,97,97,EY
AXA,France,Financials,Insurance,142,142,EY & KPMG
Axfood,Sweden,Food & Beverage,Food Retailers & Distributors,59,59,Deloitte
BAM,Netherlands,Infrastructure,Engineering & Construction Services,69,69,EY
Banca Generali,Italy,Financials,Commercial Banks,196,196,KPMG
Banco Comercial Português,Portugal,Financials,Commercial Banks,104,104,KPMG
Banco Sabadell,Spain,Financials,Commercial Banks,269,269,KPMG
Banco Santander,Spain,Financials,Commercial Banks,213,213,PwC
Bank Millenium,Poland,Financials,Commercial Banks,169,169,Deloitte
Bank of America Europe DAC,Ireland,Financials,Commercial Banks,76,76,Forvis Mazars
Bank of Cyprus Holdings,Cyprus,Financials,Commercial Banks,181,181,PwC
Bank of Ireland,Ireland,Financials,Commercial Banks,140,140,KPMG
